id,text,bio,label,lang
es_1850,"28 de Junio - Día Internacional del Orgullo LGTBI. Viva el amor Libre!!! 💪
#lgtb #lgtbiq #lgtbi #amorlibre #loveislove #orgullogay #pride #queer #love #amor #libertad #gay #yaoi #visibilidad #besos #kiss #lovewins #orgullo #respeto #lucha #homosexual #doblajespain URL",Doblajes Para Videojuegos que nunca tuvieron Doblaje en Castellano Oficial 🎮🎤 - Nuestro Correo - doblajespain@USER.es,0,es
es_773,"@USER no me gusta la Montero, por su apoyo a la ley Trans, ignorar a las feministas de base, fomentar la agenda Queer, etc, pero lo de Juana Rivas es un acoso y derribo a una mujer que lucha por sus hijos.. URL","Activista, sindicalista, madre y parte de la Resistencia. #FijezaYa #NoALaLeyTrans #RespetenALasMujeres #NoNosBorraran #ProtestarNoesDelito #NoalNuevoOrdenMund",0,es
es_1899,"Es la semana del #GayPride y la dedicaré al #QueerArt, entendido como #arte de temática #queer o realizado por artistas #LGTBIQ+.

El triángulo invertido rosa tiene un gran significado.

🖼""Monumento contra la #homofobia"" (2006).
🏛Ciudad de #Sitges, #Cataluña, #España.

Sigue👇🏽 URL","Pintor daltónico que habla de arte. Confundo el azul cerúleo, el verde esmeralda y el rojo bermellón: las que lío pintando son de traca!",0,es
es_685,"@USER @USER @USER A la carles vais los #TRANSFOBIA 
Unidas #podemos
Ha y es un hombre no una niña ..y necesita un pene para su sexualidad como todos los hombres 
#leytrans URL","mujer Algemesí Valencia Telegram @USER
+34 622839269 +34 622 65 28 73 solo citas casuales  nada serio tetas 120 solo puedo en mi piso solita de 🔞",0,es
es_1717,"Hoy a las 00:10 en TVE2, estreno del documental, Cárceles de Bolleras #orgullo2020 #visibilidad #diversidad #lesbianas #LGTBI #amor #ternura #orgullodequererte #libertad #igualdad 🏳️‍🌈💜❤️👫👭👬🏳️‍🌈 
URL @USER","Comunidad LGTBI+ sin ánimo de lucro. Reivindicamos la igualdad, la diversidad y los DDHH URL",0,es
es_1196,¡¡¡Ya estamos de MARIcañas y BOLLOpintxos!!! 🍻🍺🍷🌭🍸🌈🌮⚧ #Orgullo2021 #OrgulloRioja2021 #OrgulloLGTBI URL,"Asociación en defensa de los derechos LGTBIQ+ en La Rioja. ▼
arcoirisenlarioja@USER.com",1,es
es_1499,"Otro triunfo de @USER en su blog @USER En este post analiza jurídicamente los avances necesarios para la comunidad trans que se proponen en el borrador de Ley Trans.
Está muy bien explicado. ¡Os animo a leerla!
#LeyTrans #LGTBI #Derecho
URL",,0,es
es_1149,"‘Libérate’ y ‘Flamenco queer’, libros LGTBI que dan luz a nuestra historia URL vía @USER #Orgullo2021 #orgullo #OrgulloLGTBI","Revista online coordinada por @USER y @USER para la Cultura, el Medio Ambiente y la Participación. Asociados con @USER Visítanos. Gracias.",0,es
es_621,"Brilla fuerte y luce tus colores con orgullo 💜🏳️‍🌈🏳️‍⚧️

#OrgulloLGTBI #Orgullo #queerart URL","He him/they them • Ilustrador y diseñador gráfico mexicano. Gay bien joto; es más, jotísimo. a veces subo NSFW que no puedo subir en @ eljoto.ilustrador",0,es
es_147,"Que dicen los LGTBIHIJKLMÑO etc,etc, que si el gobierno no aprueban la ley trans-queer como ellos quieren expulsarán al PSOE del día del Orgullo. 
Pues nada, a ese ritmo de chantajes se quedarán solos",Andaluza en el paraíso-Sevilla- España,0,es
